Date,Open,High,Low,Close,Volume,Dividends,Stock splits,Capital gains
2025-07-01,549.0934460070984,550.0723527171726,544.0293092638873,546.3566284179688,56166700,0.0,0.0,0.0
2025-07-02,545.5275288228387,550.3619510063211,545.4875970893971,550.1621704101562,36538300,0.0,0.0,0.0
2025-07-03,552.5394696749878,556.5548344555102,552.5394696749878,555.575927734375,26443500,0.0,0.0,0.0
2025-07-07,552.8790730109989,553.6981308106792,548.9436328812806,551.3908081054688,45349300,0.0,0.0,0.0
2025-07-08,552.7392132279926,553.3684885906421,550.4618241127889,551.700439453125,36153300,0.0,0.0,0.0
2025-07-09,553.8379260408744,556.9843029163527,552.4595191206155,555.6058959960938,43045500,0.0,0.0,0.0
2025-07-10,556.2451587077356,556.6546571200741,552.1099380275332,554.8068237304688,34710900,0.0,0.0,0.0
2025-07-11,552.6593063234978,555.1464133288152,551.4107537333198,553.5582885742188,39618600,0.0,0.0,0.0
2025-07-14,553.3485178698481,556.3051123937647,550.9912651766557,555.5659790039062,36453300,0.0,0.0,0.0
2025-07-15,559.6012590858759,560.1506100210427,556.0153892983303,556.0753173828125,43277700,0.0,0.0,0.0
2025-07-16,556.6347161101686,559.5613159442702,550.9213079932537,556.6446533203125,52314700,0.0,0.0,0.0
2025-07-17,557.3738836913942,561.6588943188981,556.5648240354463,561.1494750976562,40423800,0.0,0.0,0.0
2025-07-18,562.4679390321799,564.0760601261163,559.331560315118,560.610107421875,50484700,0.0,0.0,0.0
2025-07-21,561.4391759845101,565.4045498103267,561.4091814589228,563.5167236328125,39595200,0.0,0.0,0.0
2025-07-22,563.6465537000605,563.6964836094055,557.9631400264451,560.60009765625,43270600,0.0,0.0,0.0
2025-07-23,561.6888968940013,563.1970972643824,558.9320829262327,563.1571655273438,40215300,0.0,0.0,0.0
2025-07-24,564.4756300983396,565.5843301767457,562.637733844974,564.3557739257812,42275500,0.0,0.0,0.0
2025-07-25,564.2758373590184,567.0426493724743,563.6166284241184,565.7141723632812,30630800,0.0,0.0,0.0
2025-07-28,567.0825555076628,568.3810379335021,566.213567832283,567.4821166992188,31498700,0.0,0.0,0.0
2025-07-29,570.099096579047,571.4475089568917,565.8740142282852,566.6031494140625,45463300,0.0,0.0,0.0
2025-07-30,567.5220925978703,569.9592697412776,564.3957119723051,567.3623046875,43433800,0.0,0.0,0.0
2025-07-31,573.8747072559383,573.9646298675983,563.2170793219943,564.3557739257812,64613600,0.0,0.0,0.0
2025-08-01,558.1829278722018,558.3727103030013,551.0411827265443,553.2386474609375,69400800,0.0,0.0,0.0
2025-08-04,558.4026371722885,563.6665542967966,558.3027773528459,563.44677734375,47669800,0.0,0.0,0.0
2025-08-05,564.7353434752952,565.903971649668,559.081863110002,559.6212768554688,48666600,0.0,0.0,0.0
2025-08-06,560.46025478518,567.1025788833654,559.9808301040473,566.6630859375,41823700,0.0,0.0,0.0
2025-08-07,571.0080505877872,572.6561644511387,564.45564880044,568.5808715820312,44463000,0.0,0.0,0.0
2025-08-08,569.7894764496438,574.1044815488668,569.4898360186871,573.8847045898438,35255500,0.0,0.0,0.0
2025-08-11,574.0245417091662,576.1320838089041,570.9081593818767,572.1866455078125,33112900,0.0,0.0,0.0
2025-08-12,574.493943836454,579.6779363086406,571.8270527389294,579.3782958984375,42143300,0.0,0.0,0.0
2025-08-13,582.0852105080592,582.6445596248751,578.2696265108757,579.6680297851562,41209300,0.0,0.0,0.0
2025-08-14,577.610445725867,581.206252942872,577.2408180571425,579.2185668945312,45425000,0.0,0.0,0.0
2025-08-15,579.1286212694092,579.1686139695657,574.903538812632,576.6715087890625,49480200,0.0,0.0,0.0
2025-08-18,575.7725043332697,577.1009813081188,574.5738816999574,576.4417114257812,29831000,0.0,0.0,0.0
2025-08-19,575.7226021797385,575.8923882635952,567.5920130021344,568.620849609375,53752600,0.0,0.0,0.0
2025-08-20,567.6719298873941,567.7917860584612,558.1929284111997,565.2447509765625,76781100,0.0,0.0,0.0
2025-08-21,563.6965150159476,565.8340517424351,560.3304220145135,562.6278076171875,46436900,0.0,0.0,0.0
2025-08-22,564.0161431934172,573.3253587434433,562.617800852793,571.3076782226562,51502100,0.0,0.0,0.0
2025-08-25,569.7395313678815,572.6261385677973,568.5009160121044,569.6596069335938,34044700,0.0,0.0,0.0
2025-08-26,569.1702111117808,572.2565990617475,568.1413744854693,571.9469604492188,34103000,0.0,0.0,0.0
2025-08-27,570.9281643841576,573.7448453667379,569.7095453598557,572.825927734375,36927100,0.0,0.0,0.0
2025-08-28,573.4452115221324,577.3307218421304,571.7971586699575,576.4118041992188,46787900,0.0,0.0,0.0
2025-08-29,573.9945791596829,574.3642068270976,567.8816703337434,569.7395629882812,56030400,0.0,0.0,0.0
2025-09-02,560.660020123991,565.3145971818625,558.8920502137331,564.9650268554688,65876800,0.0,0.0,0.0
2025-09-03,568.5708579374373,571.0380295776428,566.0737527363494,569.409912109375,54230200,0.0,0.0,0.0
2025-09-04,570.0791126733634,574.9334704969435,568.3711317527417,574.5639038085938,47526300,0.0,0.0,0.0
2025-09-05,579.8178072667213,580.4470826304052,570.8682215867353,575.3929443359375,68342500,0.0,0.0,0.0
2025-09-08,577.7002859937904,580.1674576203714,577.1010051346319,578.19970703125,46371400,0.0,0.0,0.0
2025-09-09,578.9987754125199,580.26732437145,576.3718158469537,579.8378295898438,44007600,0.0,0.0,0.0
2025-09-10,583.0640457610823,583.0940402853914,577.8800531074673,580.027587890625,49308000,0.0,0.0,0.0
2025-09-11,582.5646323700341,584.2027479772381,580.9465131126315,583.4036865234375,44745800,0.0,0.0,0.0
2025-09-12,584.3625326071349,587.1792745116926,583.4236186389489,585.9806518554688,50745900,0.0,0.0,0.0
2025-09-15,587.7586344703801,591.1047310439144,587.6087837729755,590.994873046875,44360300,0.0,0.0,0.0
2025-09-16,591.9237591465338,592.1734696533504,589.8062189258886,590.4954223632812,36942100,0.0,0.0,0.0
2025-09-17,590.415535410039,591.0648071547686,583.6933476484554,589.3168334960938,69384800,0.0,0.0,0.0
2025-09-18,594.2211168753206,597.4474182598135,592.2734235847219,594.6306762695312,61069300,0.0,0.0,0.0
2025-09-19,596.6383253844207,599.3551464363971,595.159997727806,598.6559448242188,58196100,0.0,0.0,0.0
2025-09-22,597.739990234375,602.8699951171875,597.719970703125,602.2000122070312,57154800,0.694,0.0,0.0
2025-09-23,602.3699951171875,602.5700073242188,596.97998046875,598.2000122070312,64635500,0.0,0.0,0.0
2025-09-24,599.5800170898438,599.9000244140625,593.3599853515625,596.0999755859375,49850300,0.0,0.0,0.0
2025-09-25,592.2000122070312,595.1199951171875,588.5,593.530029296875,70920200,0.0,0.0,0.0
2025-09-26,594.3499755859375,596.2999877929688,591.0599975585938,595.969970703125,54337400,0.0,0.0,0.0
2025-09-29,599.1099853515625,602.0499877929688,597.4099731445312,598.72998046875,48332900,0.0,0.0,0.0
2025-09-30,598.4299926757812,600.7100219726562,596.0999755859375,600.3699951171875,46533800,0.0,0.0,0.0
2025-10-01,597.1699829101562,603.7899780273438,596.3400268554688,603.25,46899600,0.0,0.0,0.0
2025-10-02,607.0599975585938,607.1599731445312,602.9299926757812,605.72998046875,43765400,0.0,0.0,0.0
2025-10-03,606.510009765625,607.3300170898438,601.3900146484375,603.1799926757812,46482100,0.0,0.0,0.0
2025-10-06,608.4500122070312,609.3599853515625,605.969970703125,607.7100219726562,41962100,0.0,0.0,0.0
2025-10-07,609.02001953125,609.7100219726562,603.030029296875,604.510009765625,58209500,0.0,0.0,0.0
2025-10-08,605.4099731445312,611.75,605.260009765625,611.4400024414062,50629800,0.0,0.0,0.0
2025-10-09,611.47998046875,611.6099853515625,607.47998046875,610.7000122070312,45551000,0.0,0.0,0.0
2025-10-10,611.4000244140625,613.1799926757812,589.0499877929688,589.5,97614800,0.0,0.0,0.0
2025-10-13,599.6799926757812,602.9500122070312,597.22998046875,602.010009765625,65872600,0.0,0.0,0.0
2025-10-14,595.3099975585938,602.6900024414062,590.1300048828125,598.0,69203200,0.0,0.0,0.0
2025-10-15,604.010009765625,606.7000122070312,595.9299926757812,602.219970703125,62805500,0.0,0.0,0.0
2025-10-16,605.1099853515625,608.3099975585938,595.5,599.989990234375,70982000,0.0,0.0,0.0
2025-10-17,597.9500122070312,605.510009765625,596.3699951171875,603.9299926757812,72024900,0.0,0.0,0.0
2025-10-20,607.1400146484375,612.7999877929688,607.0700073242188,611.5399780273438,45761700,0.0,0.0,0.0
2025-10-21,611.6400146484375,612.719970703125,609.3200073242188,611.3800048828125,44538200,0.0,0.0,0.0
2025-10-22,610.8200073242188,611.4099731445312,599.739990234375,605.489990234375,61478800,0.0,0.0,0.0
2025-10-23,604.9099731445312,611.3699951171875,604.52001953125,610.5800170898438,42844300,0.0,0.0,0.0
2025-10-24,615.989990234375,618.4199829101562,615.1300048828125,617.0999755859375,47632500,0.0,0.0,0.0
2025-10-27,624.52001953125,628.5499877929688,624.030029296875,628.0900268554688,54098600,0.0,0.0,0.0
2025-10-28,630.3599853515625,634.6799926757812,629.25,632.9199829101562,61195700,0.0,0.0,0.0
2025-10-29,635.5900268554688,637.010009765625,630.25,635.77001953125,67422800,0.0,0.0,0.0
2025-10-30,632.1699829101562,633.5,625.9400024414062,626.0499877929688,61628600,0.0,0.0,0.0
2025-10-31,634.1699829101562,634.2000122070312,626.6900024414062,629.0700073242188,66305100,0.0,0.0,0.0
